document_id,date_start,date_end,author.name,author.user_id,latitude,longitude,skitouring,rock_climbing,mountain_climbing,ice_climbing,hiking,snow_ice_mixed
1054681,2018-08-11,2018-08-11,mj12,1054663,729545.8345281739,5771096.583720958,False,False,False,False,True,False
1037458,2018-08-08,2018-08-11,guillaume aliadière,664046,770647.1261688217,5761505.258333732,False,False,False,False,True,False
1036950,2018-08-11,2018-08-11,pasinvite,781614,766164.9645981386,5785084.28402913,False,False,False,False,True,False
1033757,2018-08-11,2018-08-11,Beear,1033742,741171.2670383756,5722739.433024738,False,True,False,False,True,False
1033315,2018-08-11,2018-08-11,ren34,472008,739339.5300526068,5540915.626503641,False,False,False,False,True,False
1032614,2018-08-11,2018-08-11,Jager Igor,881319,-14116.664159603857,5280177.11493023,False,False,True,False,True,False
1030939,2018-08-06,2018-08-11,GUY,1030934,736127.5174652553,5753648.231745749,False,False,False,False,True,False
1029816,2018-08-11,2018-08-11,JulBont,470196,679887.0230859737,5614273.610496102,False,False,True,False,True,False
1029660,2018-08-11,2018-08-11,dede2b,647965,44246.82592254663,5270712.317333344,False,False,False,False,True,False
1029585,2018-08-11,2018-08-11,zylv,1029548,779212.9128327135,5701365.171410278,False,False,False,False,True,False
1029144,2018-08-11,2018-08-11,Sophie Ferlin,187710,758260.0586247745,5561431.791860795,False,False,False,False,True,False
1029002,2018-08-11,2018-08-11,Laurent Nogaro,845302,666653.4097167776,5653885.478930161,False,False,False,False,True,False
1028930,2018-08-11,2018-08-11,Vulliez,1028922,745840.5883149337,5751343.78802737,False,False,False,False,True,False
1028897,2018-08-11,2018-08-11,Maria Goran,10280,686837.8853480937,5739976.713378959,False,True,False,False,True,False
1028852,2018-08-11,2018-08-11,Passy Alpirunning,369397,752503.6220696993,5743342.577701515,False,False,False,False,True,False
1028760,2018-08-11,2018-08-11,janic,578085,-9906.242905113577,5269651.945625705,False,False,True,False,True,False
1028724,2018-08-11,2018-08-11,lustou,773441,14657.00852813948,5272493.396252175,False,False,True,False,True,False
1114531,2018-08-10,2018-08-10,Rozenn,6057,55636.16069930043,5271546.274681266,False,False,True,False,True,False
1047434,2018-08-10,2018-08-10,metayer,825126,748066.9781307972,5562117.421604089,False,False,False,False,True,False
1031288,2018-08-10,2018-08-10,Floch1,934823,715551.6186403036,5777543.5914778095,False,False,False,False,True,False
